pmid,journal,name
31485059,Nature,Zhou H
31474366,Cell,Gong J
31474362,Cell,Xu M
31467223,Science,Zhou R
31467221,Science,Wang K
31467188,Science,Wu Q
31462797,Nature,Li D
31462771,Nature,Niu J
31447177,Cell,Gong D
PMC6719679,Cell,Dong MB
31442404,Cell,Cheng CW
31439793,Science,Wan L
31439783,Science,Han D
31439765,Science,Zhou L
31439758,Science,Liu Y
31439757,Science,Ding K
31435059,Nature,Zhou P
31435058,Nature,Li J
31435056,Nature,Fang C
31435018,Nature,Lin YC
31435017,Nature,Li P
31435013,Nature,Zhou F
31435011,Nature,Wang L
31422876,Cell,Xie XS
31420597,Nature,Zheng S
31416961,Science,Wang Y
31416960,Science,Ran S
31416957,Science,Tian J
31416956,Science,Wang Y
31416932,Science,Wang D
31413376,Nature,Liu SF
31406309,Nature,Liu Y
31402172,Cell,Luan HH
PMC6716367,Cell,Ye SH
31395783,Science,Wang Y
31395782,Science,Yu P
31395780,Science,Pan H
31395779,Science,Song C
31395774,Science,Li B
31395758,Science,Zhao L
31395743,Science,Xue M
PMC6706314,Nature,Guo YE
31391582,Nature,Peng G
31391563,Nature,Wang D
31391562,Nature,Wang T
31384042,Nature,Liu X
31371811,Nature,Wu J
31371610,Science,Yang S
31371607,Science,Tian B
31371606,Science,Chen S
31371603,Science,Fu Q
31371578,Science,Pi X
31367041,Nature,Gao X
31367039,Nature,Jiang Z
31367036,Nature,Sun Z
31367031,Nature,Xie Y
31367028,Nature,Pei J
31365921,Nature,Jiang Y
31353221,Cell,Guan J
31348886,Cell,Kong R
31346137,Science,Ren B
31346062,Science,Ren S
31346060,Science,Zheng J
31346057,Science,Ji J
31346050,Science,Wang Y
31341282,Nature,Lu Y
PMC6697195,Nature,Wu J
31330531,Nature,Gan N
31327526,Cell,Xu Y
31320558,Science,Wang L
31320557,Science,Mao J
31320539,Science,Zhou CF
31320536,Science,Liu X
31320531,Science,Li C
31320526,Science,Hong C
31316207,Nature,Zheng X
31316205,Nature,Tian W
31316203,Nature,Chen G
31316200,Nature,Xu S
31316197,Nature,He Y
31315129,Nature,Cui L
31296772,Science,Cong Q
31296771,Science,Zhou Y
31296768,Science,Wu Q
31296767,Science,Ma L
31296766,Science,Yuan J
31296765,Science,Mu J
31292556,Nature,Zhu MH
31292555,Nature,Bai S
31292549,Nature,Cao C
31291642,Nature,Xiao Y
PMC6657653,Cell,Liu Y
31278385,Nature,Gong D
31273122,Science,Wang M
31273119,Science,Liu BY
31273116,Science,Cui Y
31273110,Science,Hou Z
31273069,Science,Xia W
31270456,Nature,Zhang J
31263260,Nature,Gao Z
PMC6697221,Nature,Tong D
31257025,Cell,Cui R
PMC6716369,Cell,Wang H
31251911,Cell,Xiao R
PMC6705129,Science,Liu X
31249053,Science,Yin Z
31249051,Science,Hou D
31249050,Science,Yang J
31243385,Nature,Zhou J
31243377,Nature,Zhang J
31243371,Nature,Wang X
31239571,Nature,Li X
31239566,Nature,Yang H
31235950,Nature,Su T
31230713,Cell,Mu Y
PMC6625887,Cell,Zhang W
31221859,Science,Liu F
PMC6680023,Science,Chen W
31221851,Science,Lu X
31221849,Science,Liu H
31221830,Science,Wang Y
31221829,Science,Lin Z
31221828,Science,Chen L
31217605,Nature,Yang MM
31217599,Nature,Liu Y
31217597,Nature,Zhang YJ
31217587,Nature,Zhang Y
31197014,Science,Gu J
31197013,Science,Li SQ
31197011,Science,Li X
31197009,Science,Gu J
31197007,Science,Yang Y
31197000,Science,Mi B
31196999,Science,Rao F
31196985,Science,Zan J
31189958,Nature,Zhou Y
31189955,Nature,Su T
31186574,Nature,Wang M
31181567,Nature,Zhou C
31171696,Science,Zhao R
31171686,Science,Tang W
31168106,Nature,Ji D
31168089,Nature,Qi X
31164722,Nature,Yang C
PMC6675578,Cell,Li J
PMC6625351,Cell,Zhang W
31142843,Nature,Yuan Y
31142842,Nature,Liu YT
31130729,Nature,Ma R
31123106,Science,Liu Y
31118515,Nature,Liu M
31118514,Nature,Wang L
31114060,Nature,Zeng X
31101908,Nature,Ma Z
31089212,Nature,Zhou HL
31080063,Cell,Song H
PMC6570580,Cell,Yan C
